epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,923.48,1.08506,0.63684,1.16097,0.61432,0.7596,0.73737,0.50668,1.57077,1.42408,1.47565,1.67119e-05,1.67119e-05,1.67119e-05
79,935.613,1.06589,0.6427,1.156,0.66125,0.69349,0.73432,0.50194,1.62209,1.47508,1.50249,1.54495e-05,1.54495e-05,1.54495e-05
80,947.159,1.06516,0.62404,1.16304,0.6616,0.69392,0.73321,0.50788,1.59858,1.45141,1.48053,1.42342e-05,1.42342e-05,1.42342e-05
81,958.702,1.07251,0.63933,1.16173,0.6714,0.69063,0.73244,0.50336,1.62656,1.49215,1.49149,1.30671e-05,1.30671e-05,1.30671e-05
82,970.239,1.09471,0.64962,1.16426,0.64748,0.69667,0.7338,0.50499,1.63886,1.54859,1.49728,1.19494e-05,1.19494e-05,1.19494e-05
83,981.887,1.05888,0.63959,1.15942,0.63381,0.70086,0.73202,0.50094,1.6314,1.5564,1.49878,1.08822e-05,1.08822e-05,1.08822e-05
84,993.236,1.02408,0.61994,1.13497,0.65344,0.67706,0.73332,0.49869,1.64101,1.52381,1.50532,9.86659e-06,9.86659e-06,9.86659e-06
85,1004.69,1.06907,0.6338,1.15969,0.66766,0.66976,0.7323,0.50113,1.61606,1.49205,1.49236,8.90352e-06,8.90352e-06,8.90352e-06
86,1016.93,0.98004,0.48486,1.15695,0.63169,0.6853,0.72171,0.47899,1.65349,1.3957,1.53216,7.99397e-06,7.99397e-06,7.99397e-06
87,1028.28,0.95485,0.47384,1.14379,0.63464,0.69334,0.72984,0.48453,1.63154,1.41309,1.51445,7.13883e-06,7.13883e-06,7.13883e-06
88,1039.63,0.96319,0.46427,1.13133,0.59572,0.75429,0.7296,0.48338,1.64117,1.43331,1.51852,6.33893e-06,6.33893e-06,6.33893e-06
89,1051.03,0.93223,0.46304,1.1306,0.6161,0.76001,0.73184,0.48421,1.63794,1.44714,1.51238,5.59508e-06,5.59508e-06,5.59508e-06
90,1062.43,0.96241,0.47011,1.15118,0.59548,0.76131,0.73104,0.4881,1.64271,1.48085,1.51687,4.908e-06,4.908e-06,4.908e-06
